FrameIndex,NumFramePresents,NumMisPresented,NumDroppedFrames,ReprojectionFlags,SystemTimeInSeconds,PreSubmitGpuMs,PostSubmitGpuMs,TotalRenderGpuMs,CompositorRenderGpuMs,CompositorRenderCpuMs,CompositorIdleCpuMs,ClientFrameIntervalMs,PresentCallCpuMs,WaitForPresentCpuMs,SubmitFrameMs,WaitGetPosesCalledMs,NewPosesReadyMs,NewFrameReadyMs,CompositorUpdateStartMs,CompositorUpdateEndMs,CompositorRenderStartMs
1264,1,0,0,0,25.314339,5.105664,0.387072,6.538240,0.677888,0.295469,13.295186,1.879185,0.073712,0.370425,0.036078,-16.627459,-3.472543,-2.301862,-2.285067,-2.262362,-1.611397
1265,1,0,0,0,25.330997,5.144576,0.386048,6.565888,0.681856,0.368559,13.325355,1.802363,0.051007,0.399972,0.035456,-16.767416,-3.485915,-2.224416,-2.206688,-2.183362,-1.507204
1266,1,0,0,0,25.347686,5.103616,0.386048,6.509568,0.676864,0.395618,11.996987,1.864878,0.071224,0.008398,0.047586,-16.838640,-3.470053,-2.337006,-2.312436,-2.294086,0.540865
1267,1,0,0,0,25.364316,5.126144,0.389120,6.637568,0.677888,0.557037,13.335307,3.802223,0.088641,0.332481,0.046342,-15.442159,-3.008189,-1.940767,-1.925216,-1.906244,-1.167570
1268,1,0,0,0,25.380997,5.093376,0.394240,6.563840,0.678912,0.274631,13.301406,1.727407,0.058472,0.393130,0.024882,-16.810648,-3.509242,-2.503402,-2.484119,-2.457060,-1.719942
1269,1,0,0,0,25.397632,5.115904,0.391168,6.582273,0.681472,0.331237,13.039838,1.684486,0.071224,0.009331,0.027370,-16.730406,-3.431487,-1.784324,-1.748245,-1.726474,-0.415523
1270,1,0,0,0,25.414289,5.131264,0.398336,6.601728,0.675840,0.490790,13.359256,2.852989,0.052873,0.161420,0.028614,-16.483145,-3.468810,-1.948854,-1.912465,-1.886650,-1.072088
1271,1,0,0,0,25.430946,5.203968,0.390144,6.645760,0.676864,0.373224,13.330642,2.224417,0.089574,0.187856,0.028925,-16.826200,-3.470365,-1.788367,-1.546704,-1.522756,-1.006462
1272,1,0,0,0,25.447627,5.118976,0.389120,6.600704,0.675840,0.270899,13.297984,2.317723,0.103881,0.370425,0.024571,-16.823090,-3.502089,-2.386770,-2.348514,-2.327365,-1.745446
1273,1,0,0,0,25.464266,5.169152,0.388096,6.653953,0.677888,0.409303,12.873131,1.575629,0.070602,0.009331,0.021149,-16.734760,-3.468499,-2.537304,-2.519576,-2.499049,-0.337147
1274,1,0,0,0,25.480940,5.116928,0.380928,6.619136,0.674816,0.349898,12.027467,3.146593,0.063137,0.018661,0.033901,-16.251434,-3.504888,-2.338251,-2.320523,-2.296885,0.539620
1275,1,0,0,0,25.497579,5.127168,0.507904,6.732800,0.676864,0.320040,13.380405,4.520369,0.057228,0.314753,0.030169,-14.863349,-3.468498,-2.269514,-2.250853,-2.225971,-1.075507
1276,1,0,0,0,25.514249,5.204992,0.380928,6.612992,0.676704,0.456267,13.336552,1.860524,0.057850,0.277741,0.034834,-16.842373,-3.498668,-2.171855,-2.143552,-2.120537,-1.169748
1277,1,0,0,0,25.530897,5.213184,0.389120,6.647808,0.674656,0.379445,13.194104,2.210110,0.175415,0.405571,0.025504,-16.763994,-3.460100,-2.332963,-2.315546,-2.290664,-1.460862
1278,1,0,0,0,25.547556,5.195776,0.380928,6.618112,0.674720,0.377268,13.294875,1.855236,0.086775,0.379134,0.036078,-16.630257,-3.489026,-2.232815,-2.198914,-2.174344,-1.483567
1279,1,0,0,0,25.564217,5.217280,0.380928,6.638592,0.674816,0.310087,7.745961,1.945743,0.054740,0.009953,0.035767,-16.725740,-3.486227,4.157097,4.178558,4.217435,4.885196
1280,1,0,0,0,25.580873,5.184512,0.384000,10.450945,0.674336,0.380378,13.002205,5.203681,0.092373,0.008709,0.028925,-11.194865,-3.476896,-2.311503,-2.294086,-2.269515,-0.710681
1281,1,0,0,0,25.597546,5.176320,0.386048,6.576128,0.674816,0.373535,12.547804,2.061132,0.067802,0.019594,0.055362,-16.105253,-3.490581,-1.687285,-1.666757,-1.637522,-0.089884
1282,1,0,0,0,25.614226,5.187584,0.393216,6.598656,0.672768,0.325016,13.427369,3.406606,0.056295,0.016795,0.046031,-15.878832,-3.511731,-2.268893,-2.249921,-2.225040,-0.806165
1283,1,0,0,0,25.630847,5.201920,0.455680,6.664192,0.674816,0.465286,13.386937,2.646783,0.085531,0.236375,0.032035,-16.847660,-3.443617,-2.215087,-2.195181,-2.168745,-1.157929
1284,1,0,0,0,25.647504,5.190656,0.397312,6.622208,0.674816,0.357051,13.414618,2.151639,0.076822,0.273698,0.027681,-16.813137,-3.484672,-2.204201,-2.183985,-2.156615,-1.092303
1285,1,0,0,0,25.664164,5.194752,0.400384,6.609920,0.676384,0.320662,13.332197,2.374951,0.064381,0.387531,0.026126,-16.820913,-3.488093,-2.427203,-2.407920,-2.383660,-1.606731
1286,1,0,0,0,25.680822,5.213184,0.396288,6.619136,0.674464,0.329370,13.359256,1.845906,0.054118,0.398106,0.026126,-16.764307,-3.490581,-2.506202,-2.489096,-2.466391,-1.900956
1287,1,0,0,0,25.697486,5.201920,0.397312,6.616064,0.673696,0.310398,13.313847,1.550436,0.057850,0.009642,0.033590,-16.815315,-3.489649,-1.771573,-1.548571,-1.515292,-0.715659
1288,1,0,0,0,25.714139,5.197824,0.389120,6.625279,0.674816,0.324083,13.320067,2.350381,0.065314,0.440094,0.027992,-16.736004,-3.473165,-2.353181,-2.336697,-2.315547,-1.398659
1289,1,0,0,0,25.730796,5.206016,0.386048,6.636544,0.675712,0.278985,13.373563,1.995817,0.057228,0.400594,0.028925,-16.775503,-3.488405,-2.313059,-2.294398,-2.270760,-1.517780
1290,1,0,0,0,25.747454,5.228544,0.386048,6.692864,0.676704,0.425165,13.393468,1.891004,0.074334,0.404015,0.024882,-16.828066,-3.490270,-2.435289,-2.416628,-2.393924,-1.586515
1291,1,0,0,0,25.764114,5.225472,0.378880,6.652928,0.675424,0.313819,13.363299,1.820091,0.060649,0.366382,0.021460,-16.706146,-3.336315,-2.193316,-2.179009,-2.160037,-1.279849
1292,1,0,0,0,25.780772,5.197824,0.382976,6.601728,0.673792,0.326260,13.336863,1.937034,0.050696,0.389708,0.021149,-16.806917,-3.471298,-2.335452,-2.299996,-2.277914,-1.624460
1293,1,0,0,0,25.797434,5.184512,0.381952,6.571008,0.672576,0.381933,13.110439,1.810760,0.199675,0.379756,0.046031,-16.716099,-3.492136,-2.340739,-2.316480,-2.292220,-1.529287
1294,1,0,0,0,25.814110,5.198848,0.381952,6.654976,0.674816,0.273076,13.274036,1.923350,0.080865,0.383799,0.024571,-16.529175,-3.504578,-2.379617,-2.363755,-2.339495,-1.564744
1295,1,0,0,0,25.830750,5.196800,0.388096,6.639616,0.672768,0.320662,13.383515,1.838752,0.073712,0.316619,0.026126,-16.688728,-3.470053,-2.141064,-2.114316,-2.089745,-1.215778
1296,1,0,0,0,25.847411,5.198848,0.391168,6.614016,0.676832,0.389397,13.323800,2.257074,0.050696,0.009331,0.037633,-16.683130,-3.494624,-2.333274,-2.315235,-2.290975,-0.803365
1297,1,0,0,0,25.864066,5.282816,0.403456,6.761472,0.672768,0.361406,12.727573,2.516465,0.058161,0.008709,0.023638,-16.729782,-3.484049,-2.327675,-2.219129,-2.196114,-0.112589
1298,1,0,0,0,25.880743,5.195776,0.380928,6.612992,0.682976,0.378823,11.171850,3.050176,0.058472,0.009953,0.024260,-15.991421,-3.505510,-2.205756,-2.169989,-2.146351,1.368801
1299,1,0,0,0,25.897400,5.220352,0.393216,6.644736,0.675840,0.385043,12.481868,4.724399,0.058472,0.008398,0.047897,-14.594006,-3.481561,-1.407989,-1.390260,-1.363513,0.060649
1300,1,0,0,0,25.914037,5.260288,0.393216,6.792192,0.676640,0.325327,13.351480,3.488404,0.065314,0.378512,0.023638,-15.886608,-3.470054,-2.297508,-2.276358,-2.251788,-1.603621
1301,1,0,0,0,25.930696,5.213184,0.385024,6.606848,0.674816,0.294536,13.371075,1.791788,0.054118,0.388464,0.026437,-16.808161,-3.488715,-2.468258,-2.449286,-2.425337,-1.779037
1302,1,0,0,0,25.947355,5.220352,0.382976,6.640640,0.680960,0.353941,13.272792,1.659915,0.066558,0.383177,0.027681,-16.834286,-3.489959,-2.442754,-2.425959,-2.400766,-1.584960
1303,1,0,0,0,25.964014,5.190656,0.391168,6.647808,0.675840,0.279607,13.374496,1.686041,0.053184,0.402771,0.025504,-16.732895,-3.493070,-2.313370,-2.295642,-2.273559,-1.530532
1304,1,0,0,0,25.980674,5.212160,0.390144,6.636544,0.674816,0.301690,13.350547,1.840618,0.101704,0.359850,0.025504,-16.838329,-3.487471,-2.441509,-2.424092,-2.398589,-1.477346
1305,1,0,0,0,25.997333,5.194752,0.380928,6.602752,0.675392,0.374779,13.330020,1.904066,0.092995,0.377268,0.027370,-16.789810,-3.478451,-2.341983,-2.321145,-2.294086,-1.489787
1306,1,0,0,0,26.013988,5.203968,0.381952,6.639616,0.678752,0.409925,13.316335,1.897535,0.058161,0.223624,0.039811,-16.740669,-3.478140,-1.793965,-1.773438,-1.745135,-1.091681
